KNYSNA  - station [0014123 3]   -34.0590 23.0910 54 m ,yyyymmdd,Rainfall (mm) (24 hours),Temp (§ C),Rel Humidity (%),Wind Speed (m/s) ,,,
,19980827,0,27.7,51,0,,,
,19980828,0,19.1,66,2.2,,,
,19980829,0,16.5,69,5.3,,,
,19980830,0,18.1,63,2.1,,,
,19980831,0,15.7,82,5.2,,,
,19980901,0,18.8,64,4.1,,,
,19980902,0,22.9,57,3,,,
,19980903,0,21.3,47,3.6,,,
,19980904,0,16.1,73,2.3,,,
,19980905,0,15.4,81,1.8,,,
,19980906,0,15.5,78,1.4,,,
,19980907,0,18,69,1.7,,,
,19980908,0,17.7,70,5.4,,,
,19980909,4,19.7,54,2.1,,,
,19980910,15.4,14.8,65,3.4,,,
,19980911,0,14.1,66,4.3,,,
,19980912,0,17.8,65,3.8,,,
,19980913,0,17.4,73,6.3,,,
,19980914,0,18.1,71,2.4,,,
,19980915,0,20.2,63,2.1,,,
,19980916,0.4,20.5,78,2.2,,,
,19980917,6.6,17.1,88,2.9,,,
,19980918,0,18,58,2.4,,,
,19980919,0,23.3,33,1.7,,,
,19980920,1,27.5,49,2.1,,,
,19980921,0,20.9,68,1.6,,,
,19980922,0.2,25.9,44,3.3,,,
,19980923,0,17.3,78,1.4,,,
,19980924,0,15.5,76,7,,,
,19980925,0,16.4,55,4.4,,,
,19980926,0,16.7,64,1.9,,,
,19980927,14.2,15.4,69,8,,,
,19980928,3.6,15.3,60,2.7,,,
,19980929,0,17.5,60,3,,,
,19980930,0,18.8,61,1.3,,,
,19981001,0,17.9,66,3.5,,,
,19981002,0,18.7,72,3,,,
,19981003,0,19.5,69,2,,,
,19981004,0,20.9,72,2.3,,,
,19981005,0,17.7,70,4.4,,,
,19981006,2,18.7,56,4.3,,,
,19981007,0,18.2,61,5.7,,,
,19981008,0,20.6,54,4.2,,,
,19981009,0,20.8,69,2.6,,,
,19981010,0,20.6,83,3.9,,,
,19981011,0.6,18.6,80,1.4,,,
,19981012,11.6,15.2,89,1.4,,,
,19981013,0,18.7,70,2.7,,,
,19981014,20,19.4,68,1.4,,,
,19981015,14,14.7,81,1.6,,,
,19981016,0,18.9,65,5.8,,,
,19981017,0,28.1,32,1.9,,,
,19981018,0,28.5,40,4.1,,,
,19981019,0.6,23.9,69,3.6,,,
,19981020,0,17.8,80,7.6,,,
,19981021,0,18.8,61,2.6,,,
,19981022,0,22.2,49,2,,,
,19981023,0,26.2,42,3.1,,,
,19981024,0,19.1,81,7.3,,,
,19981025,0,18.5,59,3.4,,,
,19981026,0,20.7,56,5.2,,,
,19981027,0,21,72,5.1,,,
,19981028,0.8,22.4,59,4.6,,,
,19981029,0,20.4,70,2.7,,,
,19981030,2,23.4,60,2.5,,,
,19981031,0.2,20.9,61,5,,,
,19981101,1,23,59,4,,,
,19981102,5,18,84,9,,,
,19981103,0,17.1,73,6,,,
,19981104,0,19.6,58,2.2,,,
,19981105,21.8,20.1,64,3.5,,,
,19981106,1,16.2,63,7.9,,,
,19981107,0,17.1,64,2,,,
,19981108,0,22.5,54,2.6,,,
,19981109,0,30.1,34,3.8,,,
,19981110,0,23.2,53,5.5,,,
,19981111,0,21.2,71,2.4,,,
,19981112,0,22.5,75,2.7,,,
,19981113,0,23.2,74,3.1,,,
,19981114,1.4,21.1,67,3.9,,,
,19981115,0,20.5,70,1.9,,,
,19981116,4.4,20.3,74,6.1,,,
,19981117,0,18,70,2.7,,,
