Station,Time,Date,Rainfall (mm) (24 hours),Temp (º C),Rel Humidity (%),Wind Speed (m/s) 
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930705,0,22.3,38,3.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930706,0,25.7,26,9.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930707,5,27,23,5.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930708,6.8,13.6,84,7.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930709,15.2,22,47,6.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930710,2,15.4,84,2.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930711,3.2,15.2,71,11
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930712,0.2,17.7,57,3.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930713,0,19.5,44,3.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930714,0.6,16,83,4.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930715,0,17.5,74,4.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930716,1.4,30.4,15,5.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930717,10.4,13.8,71,2.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930718,0,12.7,69,3.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930719,0,14.7,73,5.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930720,0,14.8,70,3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930721,0,17.9,74,4.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930722,0,15.4,91,2.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930723,0,25.1,38,6.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930724,0,18.8,59,4.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930725,0,29.2,20,6.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930726,1.8,13,86,6.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930727,0,14.4,53,7.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930728,3.6,16.8,53,5.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930729,0,14.9,79,2.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930730,0,17.4,74,1.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930731,0,20.7,50,4.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930801,0,19.2,60,1.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930802,0,16.9,80,6.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930803,0.2,15.2,77,8.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930804,10.8,9.2,92,3.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930805,0,14.7,61,4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930806,0,15.5,59,5.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930807,1.4,14.7,76,7.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930808,0,15.7,74,4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930809,0,20,45,1.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930810,0.2,15.3,79,4.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930811,1.2,15.2,75,6.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930812,0,14,64,4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930813,0,16.7,66,2.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930814,0,21.9,41,1.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930815,0,28,23,3.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930816,0,19.4,58,5.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930817,0,14.7,85,2.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930818,0,16.7,81,4.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930819,0,18.6,69,3.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930820,33.8,17.6,57,5.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930821,2,13.3,65,4.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930822,0,15.4,57,6.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930823,0,16.4,57,3.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930824,0,23.6,35,3.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930825,0,20,52,6.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930826,5.4,15.9,73,3.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930827,0,14.6,80,4.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930828,0,15,73,4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930829,0.6,18.4,77,9.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930830,2.6,23.5,49,2.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930831,0,19.8,56,5.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930901,0,17,82,5.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930902,0,23.2,52,2.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930903,0,17,75,2.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930904,10.4,15.9,82,2.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930905,2.8,15.1,72,3.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930906,0,19.8,49,3.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930907,0,16.2,81,4.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930908,0,17,79,3.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930909,0,25.7,40,3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930910,8.2,18.2,64,4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930911,0,14.2,74,5.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930912,0,17.4,63,2.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930913,0,16.4,78,3.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930914,0,18,76,5.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930915,0,18.7,72,5.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930916,0,17.5,76,3.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930917,0,18.5,81,1.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930918,0,16.6,83,4.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930919,0,19.1,80,2.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930920,2.8,17.4,82,5.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930921,52.8,12.8,95,4.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930922,36.8,12.3,91,2.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930923,142,13.1,95,6.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930924,6.8,15.7,91,7.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930925,0,16.4,76,3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930926,0.4,17.9,75,7.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930927,0.4,17,80,3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930928,2.6,17.2,77,2.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930929,13.6,13.1,91,2.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930930,0,15.6,64,7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19931001,0,17.1,70,10.2
